summary,title
"El director de cine colombiano, Alí Humar lucha por su vida en la Fundación Santa Fe de Bogotá.","Alí Humar, una de las glorias de la televisión, se encuentra en estado crítico"
"A punta de trinos, la mandataria y el senador debatieron por lo que debería hacer la capital frente a las muertes por COVID-19 y la situación actual de protestas. Mientras Petro propuso no sacar al Esmad durante las manifestaciones, López manifestó que el caos y destrucción no son la vía.",“Recapacite Gustavo”: nuevo rifirrafe entre Claudia López y Petro
"El libro elegido por Nicolás Montero, el primer invitado al pódcast de literatura “El refugio de los tocados”, fue “Bartleby, el escribiente”. El efecto de la famosa frase “Preferiría no hacerlo” en su vida y el valor de la literatura fueron los temas protagonistas en esta conversación.",Lo que hubiésemos preferido no hacer - Una charla con Nicolás Montero
"Así lo señaló el director de la Policía, general Jorge Luis Vargas, quien lo ha perseguido desde 2017. Desde hace una semana, las autoridades le vienen cerrando el cerco en el Urabá al hombre más buscado por las autoridades colombianas.","Alias “Otoniel” está pasando hambre y arrinconado, dice la Policía"
"Julio Cesar Moreno Díaz, denunció este lunes que, en medio de los enfrentamientos ocurridos en la localidad de Usme, su hijo, Joan Sebastián Moreno Ríos fue capturado y no tenía conocimiento de su paradero.",Joven reportado como desaparecido estaba en la URI de Puente Aranda
"La jornada se está llevando a cabo durante junio, con la asignación de más de 3.000 consultas médicas gratuitas en prestigiosas entidades de salud del país. Personalidades nacionales como Pirry, el reconocido periodista que ha mejorado su calidad de vida a través del cannabis medicinal, contará su experiencia personal. ",Llega la primera jornada masiva de consultas médicas gratuitas para cannabis medicinal en Colombia
"Incentivar a las mujeres para que pierdan el miedo a la política, participen activamente, se involucren con la tecnología y emprendan, son algunos de los objetivos que tienen desde la Comisión y las organizaciones que trabajan en pro de sus derechos.",Entre logros y acciones para mejorar la calidad de vida de las mujeres
"Tras más de 50 días de manifestaciones en la capital del Valle del Cauca, varios hechos de violencia, discriminación y clasismo han revelado una profunda división social en Cali. Uno de esos hechos ocurrió en el barrio Ciudad Jardín el pasado 28 de mayo, cuando civiles armados, en compañía de la Policía, dispararon contra manifestantes.",Paro nacional en Cali: las protestas destaparon el odio de clases
"Se trata de la primera meta no alcanzada en términos de vacunación para el presidente estadounidense, Joe Biden. Sin embargo, el mandatario afirmó que sí podrán vacunar a al menos el 70% de personas por encima de los 27 años.",EE. UU. no podrá cumplir el objetivo de vacunación fijado por Biden para el 4 de julio
El Ministerio de Salud informó que este martes 22 de junio se confirmaron 28.616 casos nuevos de COVID-19 en el país y se reportaron 614 fallecidos. Con estas cifras Colombia alcanza las 101.302 muertes por coronavirus.,Coronavirus en Colombia 22 de junio: 28.616 casos nuevos y 614 fallecidos
"La empresa debe pagar una multa de $78 millones, a la vez que fue inhabilitada durante cinco años para realizar este tipo de estrategias nuevamente.",Coljuegos multó a Rappi por realizar un juego de azar de forma ilegal
