summary,title
"Un tercio de un edificio residencial de 12 plantas y 40 años se derrumbó este jueves por causas no determinadas en Surfside, en Miami Beach, mientras sus habitantes dormían y al menos una persona murió y una decena resultaron heridas, aunque se teme que puede haber más víctimas entre los escombros.",Video: Momento del derrumbe de edificio residencial en Miami que dejó un muerto
"En el marco de la alianza entre la Secretaría de Desarrollo Social de Bucaramanga y la Agencia de la ONU para los refugiados (Acnur), este jueves se dio apertura a un espacio de apoyo para migrantes venezolanos en el Centro Administrativo Municipal Especializado (CAME) del Intercambiador de Quebradaseca.",Bucaramanga habilitó espacio de apoyo a migrantes venezolanos
"¿Qué pasó con Al Qaeda 10 años después de la desaparición de Osama bin Laden? Aunque la red terrorista fue eclipsada por el Estado Islámico, aún está activa y se ha expandido hasta convertirse en una estructura yihadista global.",Diez años de la muerte de Osama bin Laden: ¿Qué pasó con Al Qaeda?
"Para los comerciantes de alimentos, si el paro continúa como hasta el momento es preocupante la situación de aprovisionamiento.",Los alimentos ya empezaron a escasear en Bucaramanga
"La Cancillería colombiana informó que seis colombianos residían en el edificio Champlain Towers South, en Miami, que colapsó a la 1:30 de la madrugada de este jueves, pero señaló que se está verificando si se encontraban o no en el interior del inmueble.",Seis colombianos residían en edificio que se derrumbó en Miami
"El Sena regional Santander abrirá una convocatoria de formación virtual con más de 2.600 cupos, dirigida al público santandereano que esté interesado en adquirir una oportunidad de formación impartida por esta entidad educativa.",Sena Santander abre convocatoria para 2.600 cupos de formación virtual
Santander cuenta con 18 deportistas clasificados para los Juegos Panamericano Júnior que se llevarán a cabo en Cali desde el 25 de noviembre y aguarda por confirmar la clasificación de otros siete atletas.,"Santander, con una nutrida representación en los Juegos Panamericanos Júnior"
En el corregimiento de Berlín están vendiendo parcelas de 2.500 metros cuadrados sin licencias o permisos. Desde la Alcaldía de Tona confirmaron que el loteo en esta zona del páramo no está permitida. Cdmb tiene en la mira 11 proyectos. Conozca lo que dijeron tres empresas al ser confrontadas por la Unidad Investigativa de Vanguardia.,Así ofrecen parcelas sin permisos en zona de páramo de Berlín
"Colombia recibió este jueves un nuevo lote de 539.370 vacunas contra el COVID-19 de Pfizer, con lo cual el país ha recibido en total 21.271.994 dosis del biológico de todos los laboratorios con lo que el país tiene acuerdos.",Colombia recibió 539.370 dosis de la vacuna de Pfizer contra el COVID-19
"El juzgado 28 de Conocimiento de Bogotá aplazó la audiencia que estaba programada para este jueves y en la que la Fiscalía solicitaría la preclusión de la investigación que se lleva contra el expresidente Álvaro Uribe, para el mes de julio.",Aplazan audiencia de preclusión del ex presidente Uribe para el 22 de julio
"Lo que sería un ataque de sicarios contra un adulto en el barrio San Francisco de Bucaramanga, terminó con dos niños de 1 y 2 años con heridas en el abdomen.",Dos niños resultaron heridos en un ataque de sicarios en Bucaramanga
"La Fiscalía confirmó este miércoles que obtuvo elementos materiales de prueba que dan cuenta de supuestas irregularidades en un contrato de empréstito o préstamo, suscrito el 5 de diciembre de 2013, entre el departamento de Antioquia y el Banco CorpBanca S.A.",Fiscalía imputará cargos a Fajardo por contrato con Corpbanca
"Socorro y Galán están, junto a Tunja (capital de Boyacá) y Pereira (capital de Risaralda), en el último reporte entregado por el programa ‘Estado simple, Colombia ágil’ de la presidencia de la República.",
"Todos hemos padecido los estragos de la pandemia y entre los más afectados están los sacerdotes; nada más en Santander han muerto 18 de ellos. Hoy, en Vitamínicos Espirituales, hablamos con Monseñor Juan Carlos Castellanos Ruiz quien por fortuna le ganó la batalla a la COVID-19. Escuche su testimonio y su mensaje de fe.",Podcast: La pandemia puso a prueba nuestra fe
"En momentos sociales difíciles para Colombia, el ciclista Egan Bernal manda una sonrisa a sus compatriotas y aporta más luz a ese glorioso pasado con el quinto gran título nacional en las grandes, y el segundo en el Giro.",Egan Bernal nos da un ‘Giro’ de Esperanza
Autoridades de salud confirmaron la muerte de otras 58 personas diagnosticadas con COVID-19 en Santander.,Reportan 2.232 nuevos casos y 58 fallecidos más por COVID-19
"El cantante vallenato Jorge Oñate falleció este 28 de febrero tras perder la batalla contra la Covid-19. Se encontraba internado en el Hospital Pablo Tobón Uribe de Medellín, desde el pasado 23 de febrero.",Jorge Oñate falleció tras complicaciones asociadas al Covid-19
El alcalde Juan Carlos Cárdenas confirmó que las primeras y segundas dosis de Pfizer se agotaron en la capital de Santander. Solo quedan segundas dosis de Sinovac y AstraZeneca.,Este jueves se acabaron de nuevo las vacunas de Pfizer en Bucaramanga
